,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State
0,Wakefield,40.89470517661,-73.84720052054902,Major League Music Group,Music Venue,40.89136668917538,-73.85008751159359,N/A,New York
1,Wakefield,40.89470517661,-73.84720052054902,Dyme Life Radio,Music Venue,40.894541333333336,-73.84326600000001,Bronx,NY
2,Wakefield,40.89470517661,-73.84720052054902,Par-City,Music Venue,40.89021141,-73.84700158,Bronx,NY
3,Wakefield,40.89470517661,-73.84720052054902,The Upper Room,Music Venue,40.892567,-73.846406,N/A,New York
4,Wakefield,40.89470517661,-73.84720052054902,Tavern,Bar,40.895898,-73.855731,Bronx,NY
5,Wakefield,40.89470517661,-73.84720052054902,M.O.S. Cigars,Smoke Shop,40.89062848720324,-73.848477602005,Bronx,NY
6,Wakefield,40.89470517661,-73.84720052054902,Inn At the Border,Other Nightlife,40.898247785493794,-73.83864124385997,Mount Vernon,NY
7,Wakefield,40.89470517661,-73.84720052054902,226th,Bar,40.88746960613367,-73.85450962467091,Bronx,NY
8,Wakefield,40.89470517661,-73.84720052054902,Advance Art Studios,Nightlife Spot,40.893873,-73.84146,Bronx,NY
9,Wakefield,40.89470517661,-73.84720052054902,Charging Station,Speakeasy,40.893918395535934,-73.83986256367888,Bronx,NY
10,Wakefield,40.89470517661,-73.84720052054902,Cullens tavern,Bar,40.89724876490332,-73.85531937747552,Bronx,NY
11,Wakefield,40.89470517661,-73.84720052054902,Last Stop Bar,Bar,40.90240976610952,-73.85139773376028,Bronx,NY
12,Wakefield,40.89470517661,-73.84720052054902,Emma C. Brisbane Youth Leadership Center,Lounge,40.88792277876211,-73.85368838260857,Bronx,NY
13,Wakefield,40.89470517661,-73.84720052054902,Karma Lounge,Nightclub,40.901605,-73.85072,Bronx,NY
14,Wakefield,40.89470517661,-73.84720052054902,Wenbley Lounge,Lounge,40.897526,-73.859468,Bronx,NY
15,Wakefield,40.89470517661,-73.84720052054902,KT's,Hookah Bar,40.897640228271484,-73.8381118774414,Mount Vernon,NY
16,Wakefield,40.89470517661,-73.84720052054902,241st Liquor Store,Other Nightlife,40.902771155979906,-73.8498979902429,Bronx,NY
17,Wakefield,40.89470517661,-73.84720052054902,Boohran Pub,Pub,40.89849090379776,-73.85539403536778,N/A,New York
18,Wakefield,40.89470517661,-73.84720052054902,Wreckhouse,Music Venue,40.89850956763341,-73.8553560595481,Bronx,NY
19,Wakefield,40.89470517661,-73.84720052054902,Kristal Bar and Lounge,Bar,40.898039,-73.838685,Mount Vernon,NY
20,Wakefield,40.89470517661,-73.84720052054902,rivers edge reataurant,Bar,40.899762441840274,-73.85716462430139,Bronx,NY
21,Wakefield,40.89470517661,-73.84720052054902,Oasis HQ NightClub,Nightclub,40.89192,-73.858484,Bronx,NY
22,Wakefield,40.89470517661,-73.84720052054902,MY Studio,Music Venue,40.901926,-73.853504,N/A,New York
23,Wakefield,40.89470517661,-73.84720052054902,Matic Records,Music Venue,40.89977351724096,-73.85714069379077,Bronx,NY
24,Co-op City,40.87429419303012,-73.82993910812398,Dreiser Auditorium,Jazz Club,40.8763808729142,-73.82909547946035,Bronx,NY
25,Co-op City,40.87429419303012,-73.82993910812398,The City Lounge,Bar,40.876468721481686,-73.83363614520931,Bronx,NY
26,Co-op City,40.87429419303012,-73.82993910812398,The Yard,Other Nightlife,40.877037048339844,-73.83338165283203,Bronx,NY
27,Co-op City,40.87429419303012,-73.82993910812398,The Blue Horizon Pub,Pub,40.869604539313855,-73.83747532985345,Bronx,NY
28,Co-op City,40.87429419303012,-73.82993910812398,Klassique Bar & Lounge,Bar,40.88153333969141,-73.83822683488867,Bronx,NY
29,Co-op City,40.87429419303012,-73.82993910812398,Da SubBasement Recording Studio,Recording Studio,40.88546184806609,-73.82925152778625,Bronx,NY
30,Co-op City,40.87429419303012,-73.82993910812398,Expressions,Bar,40.86960312481067,-73.83582121344308,N/A,New York
31,Co-op City,40.87429419303012,-73.82993910812398,The Garage,Nightclub,40.88216467197872,-73.82759319234759,Bronx,NY
32,Co-op City,40.87429419303012,-73.82993910812398,Jamex Sports Bar,Sports Bar,40.880255,-73.838333,Bronx,NY
33,Co-op City,40.87429419303012,-73.82993910812398,EMC Entertainment Center,Nightclub,40.868938,-73.841496,Bronx,NY
34,Co-op City,40.87429419303012,-73.82993910812398,tropics lounge,Nightclub,40.882026709409466,-73.83132401444647,Bronx,NY
35,Co-op City,40.87429419303012,-73.82993910812398,Syd's Shack,Sports Bar,40.869483947753906,-73.83637547492981,Bronx,NY
36,Co-op City,40.87429419303012,-73.82993910812398,Paradise Lost,Other Nightlife,40.86628749506847,-73.82081161524425,N/A,New York
37,Co-op City,40.87429419303012,-73.82993910812398,Blok Work Studio,Music Venue,40.881772739912755,-73.82673596188631,Bronx,NY
38,Co-op City,40.87429419303012,-73.82993910812398,Wine & Liqour,Pub,40.869964,-73.828555,Bronx,NY
39,Co-op City,40.87429419303012,-73.82993910812398,Damatrixstudios,Music Venue,40.87117330237115,-73.83684592174664,Bronx,NY
40,Eastchester,40.887555677350775,-73.82780644716412,Blazin Recordings Studio,Recording Studio,40.89068169321264,-73.8274010868303,Bronx,NY
41,Eastchester,40.887555677350775,-73.82780644716412,Mingles,Cocktail Bar,40.884145813963066,-73.83261297304038,Bronx,NY
42,Eastchester,40.887555677350775,-73.82780644716412,Blok Work Studio,Music Venue,40.881772739912755,-73.82673596188631,Bronx,NY
43,Eastchester,40.887555677350775,-73.82780644716412,Da SubBasement Recording Studio,Recording Studio,40.88546184806609,-73.82925152778625,Bronx,NY
44,Eastchester,40.887555677350775,-73.82780644716412,Gardens Bar & Grill,Bar,40.89295920726248,-73.83118678302945,Mount Vernon,NY
45,Eastchester,40.887555677350775,-73.82780644716412,The Garage,Nightclub,40.88216467197872,-73.82759319234759,Bronx,NY
46,Eastchester,40.887555677350775,-73.82780644716412,mingles,Nightclub,40.8918688,-73.8298859,Mount Vernon,NY
47,Eastchester,40.887555677350775,-73.82780644716412,tropics lounge,Nightclub,40.882026709409466,-73.83132401444647,Bronx,NY
48,Eastchester,40.887555677350775,-73.82780644716412,Dave & Buster's,Sports Bar,40.892236,-73.821055,Pelham Manor,NY
49,Eastchester,40.887555677350775,-73.82780644716412,Klassique Bar & Lounge,Bar,40.88153333969141,-73.83822683488867,Bronx,NY
50,Eastchester,40.887555677350775,-73.82780644716412,Jamex Sports Bar,Sports Bar,40.880255,-73.838333,Bronx,NY
51,Eastchester,40.887555677350775,-73.82780644716412,The Yard,Other Nightlife,40.877037048339844,-73.83338165283203,Bronx,NY
52,Eastchester,40.887555677350775,-73.82780644716412,Dreiser Auditorium,Jazz Club,40.8763808729142,-73.82909547946035,Bronx,NY
53,Eastchester,40.887555677350775,-73.82780644716412,Knuckleheads Tavern,Bar,40.893105,-73.818698,Pelham Manor,NY
54,Eastchester,40.887555677350775,-73.82780644716412,Knuckleheads,Bar,40.89093668840454,-73.81705284118652,Pelham,NY
55,Eastchester,40.887555677350775,-73.82780644716412,Mr. O's Room,Cocktail Bar,40.883026123046875,-73.84017181396484,N/A,New York
56,Eastchester,40.887555677350775,-73.82780644716412,Xpressions,Bar,40.8902189,-73.8132467,N/A,New York
57,Fieldston,40.89543742690383,-73.90564259591682,Uptown Coffeehouse,Music Venue,40.892331,-73.905058,Bronx,NY
58,Fieldston,40.89543742690383,-73.90564259591682,Hauben Danel Studio,Nightlife Spot,40.894324,-73.908478,Bronx,NY
59,Fieldston,40.89543742690383,-73.90564259591682,Mikey G's Musical Kingdom,Music Venue,40.904354,-73.906013,Bronx,NY
60,Fieldston,40.89543742690383,-73.90564259591682,Roma Lounge,Lounge,40.89045281501451,-73.90234248082983,Bronx,NY
61,Fieldston,40.89543742690383,-73.90564259591682,Beach Walk at Sea Bright,Beach Bar,40.8867,-73.9116,Sea Bright,NJ
62,Fieldston,40.89543742690383,-73.90564259591682,Tiki Bar,Beach Bar,40.8867,-73.9116,Sea Bright,NJ
63,Fieldston,40.89543742690383,-73.90564259591682,Russian Mission Residential Bar,Bar,40.90283966064453,-73.9024887084961,New York,NY
64,Fieldston,40.89543742690383,-73.90564259591682,Tortoise And Hare,Sports Bar,40.89472,-73.89671,Bronx,NY
65,Fieldston,40.89543742690383,-73.90564259591682,Riverdale Garden Restaurant & Lounge,Other Nightlife,40.889410572788414,-73.90010849948735,Bronx,NY
66,Fieldston,40.89543742690383,-73.90564259591682,622,Bar,40.890323,-73.899408,Bronx,NY
67,Fieldston,40.89543742690383,-73.90564259591682,Room 310/311,Nightclub,40.890178,-73.899379,Bronx,NY
68,Fieldston,40.89543742690383,-73.90564259591682,Frankie's TAVERN,Pub,40.905235,-73.90119,New York,NY
69,Fieldston,40.89543742690383,-73.90564259591682,Paulo's hole,Beer Garden,40.88716506958008,-73.90450286865234,Bronx,NY
70,Fieldston,40.89543742690383,-73.90564259591682,Papa Joe's,Sports Bar,40.887034671638105,-73.90400177819282,Bronx,NY
71,Fieldston,40.89543742690383,-73.90564259591682,Hudson's,Bar,40.886988,-73.907362,Bronx,NY
72,Fieldston,40.89543742690383,-73.90564259591682,Play Room),Nightclub,40.890182,-73.899381,Bronx,NY
73,Fieldston,40.89543742690383,-73.90564259591682,Piano Lessons With Ivanka,Piano Bar,40.89824676513672,-73.89883422851562,Bronx,NY
74,Fieldston,40.89543742690383,-73.90564259591682,крыша русских в Нью Йорке,Lounge,40.890147,-73.898519,New York,NY
75,Fieldston,40.89543742690383,-73.90564259591682,235th at Riverdale Ave.,Cocktail Bar,40.88518953181696,-73.90736626166387,N/A,New York
